loan_id,lender_actor_id,borrower_actor_id,principal,outstanding,outstanding_state_origin,rate,term,status,delinquency,collateral,provenance,state_origin,source_evidence,slice,consolidation
loan:ncf:halbor-dunn,actor:institution:ncf,actor:npc:halbor-dunn,3000,,UNKNOWN,0.14,18 months,DELINQUENT,two months,,SOURCE-DERIVED,SOURCE,Halbor NPC review,NCF,STANDALONE
loan:ncf:snowfall-undrawn,actor:institution:ncf,actor:borrowers:ncf:unresolved,30000,0,SOURCE,0.08,,APPROVED_UNDRAWN,,"Plant, inventory, receivables and maker IP, plus a 5,000 gp personal completion guarantee from Veldrin Snowfall (held not spent, released after the first successful winter)",SOURCE-DERIVED,SOURCE,"approved undrawn Day 7; Rate 8% found on the NCF parent body and confirmed on the NCF Neverwinter branch body. Staged construction and working-capital facility, SEPARATE from the 25% equity. No balance or interest income enters the active portfolio until first draw on or after 1 Alturiak 1495. Illustrative 60-month payment on a full draw is 608.29 gp/month.",NCF,STANDALONE
loan:ncf:unresolved-portfolio,actor:institution:ncf,actor:borrowers:ncf:unresolved,2297000,2297000,DERIVED,,,AGGREGATE_UNRESOLVED,,,SOURCE-DERIVED,DERIVED,"2300000-3000; Snowfall excluded; Three named loans (Dockworkers Guild, Selah Thorn, Philo Swiftfingers) are now carried as their own rows and sit INSIDE this aggregate. Do not add them to it.",NCF,AGGREGATE_PARENT
loan:ncf:institut-capital,actor:institution:ncf,actor:institution:institut-baenund,132000,,UNKNOWN,0.06,,ACTIVE,,Institut cash flow,SOURCE-DERIVED,SOURCE,"Transaction Ledger Day 393 Session 31 GM ruling: 48K workshop + 80K looms + 4K misc as a separate NCF commercial mortgage, NOT ESAMT. 660/mo interest. Shi'van clock.",INSTITUT,STANDALONE
loan:ncf:celestial-compass-estate,actor:institution:ncf,actor:npc:shivan-baenund,127000,,UNKNOWN,0.04,interest-only initially,ACTIVE,,47-53 Sapphire Street (4 townhouses unified),SOURCE-DERIVED,SOURCE,"Transaction Ledger Day 310 Session 9. 5,080/yr = ~423/mo. Shi'van clock.",INSTITUT,STANDALONE
loan:ncf:esamt-ruby-facility,actor:institution:ncf,actor:trust:esamt,,454116,SOURCE,0.04,,ACTIVE,,"Ruby-secured (1,010,000 gp foundation ruby)",SOURCE-DERIVED,SOURCE,"Transaction Ledger Day 733 Session 41: ""New outstanding 454,116gp."" Balance is as of Shi'van Day 733, NOT Arik Hammer 1495.",NCF,STANDALONE
loan:ncf:baen-innovations-line,actor:institution:ncf,actor:business:baen-innovations,50000,0,SOURCE,,,APPROVED_UNDRAWN,,,SOURCE-DERIVED,SOURCE,"Transaction Ledger Day 510 Session 20: NCF capitalised entity, 50K credit line available.",NCF,STANDALONE
loan:ncf:dockworkers-guild-housing,actor:institution:ncf,actor:guild:dockworkers,15000,,UNKNOWN,0.06,,ACTIVE,,Housing,SOURCE-DERIVED,SOURCE,"NCF Neverwinter branch body, named-loan table. Housing loans are priced at 6% and subsidised for strategic positioning.",NCF,INSIDE_AGGREGATE
loan:ncf:selah-thorn-buyout,actor:institution:ncf,actor:npc:selah-thorn,10000,,UNKNOWN,0.08,,ACTIVE,,Thorn & Silver Exchange,SOURCE-DERIVED,SOURCE,"Named on both the NCF Neverwinter branch body and the Thorn & Silver body. Buyout loan, still active; she is both client and employee. The page calls it 'the NCF model in miniature - financial control through lending relationships.'",NCF,INSIDE_AGGREGATE
loan:ncf:philo-swiftfingers-voyage,actor:institution:ncf,actor:npc:philo-swiftfingers,5000,,UNKNOWN,0.12,,ACTIVE,,Voyage,SOURCE-DERIVED,SOURCE,"NCF Neverwinter branch body, named-loan table. Voyage financing is priced at 12%.",NCF,INSIDE_AGGREGATE
loan:ncf:cerulean-project,actor:institution:ncf,actor:business:cerulean-holdings,200000,,UNKNOWN,,,ACTIVE,,The Cerulean (Waterdeep),SOURCE-DERIVED,SOURCE,"Cerulean body funding structure: NCF project loan 200,000 gp ('internal, favourable terms' - no rate stated) + Cerulean Holdings equity 50,000 + Baen Infrastructure aqueduct cost-share 52,000 = 302,000 build. Whether this 200,000 sits inside the 2.3M aggregate is not stated on either page.",NCF,UNKNOWN_OVERLAP
