collection_name,collection_id,row_count,census_status,engine_use
Baen Empire - Business Registry,3c5f887a-4219-4ae6-a18a-82cf2d1841db,90,CENSUSED,"facilities.csv, employment.csv, programmes.csv"
The New Path - Locations,4b453810-16af-43eb-86ff-927da765a17f,182,CENSUSED,
The New Path - Factions,a14877b1-e048-4814-b0f3-47a556665fc4,79,CENSUSED,
The New Path - NPCs,ebad4913-73c8-4f39-81c0-0b35b2221d9d,681,CENSUSED,actors.csv; 920 retained incl. 239 provenance rows
The New Path - Artifacts,0b4e0fd7-51f7-4291-a8ff-ff4f26b8c085,206,CENSUSED,
The New Path - Threats,6ac1439a-f743-4fb8-a0fd-cf24ed645118,26,CENSUSED,
The New Path - Plot Threads,e9d15845-0221-4ef0-83fe-f1fc80281f40,89,CENSUSED,
Public Perception,c2d0aa01-638a-4a72-8760-7e9fb7696fef,7,CENSUSED,
Consequence Ledger A,e1debaad-0b2f-412e-8b19-8c9a99f48dbe,11,CENSUSED,duplicate authority pair with B
Consequence Ledger B,88705cad-2c1a-493b-b52c-955bbef8230f,10,CENSUSED,duplicate authority pair with A
Transaction Ledger,ae367fe3-d5fd-47db-b4d3-eafb13b9d081,49,HARVESTED_THIS_SITTING,transactions.csv — all 49 rows; Shi'van clock Day 234-814
The New Path - Session Logs,a5071385-7349-4405-a749-197f9a616d7d,81,SCANNED_THIS_SITTING,"S001-S078, 9 arcs; Warborn keyword sweep run, no production counts"
Prose Scenes,cc6940d9-8ccd-42f0-b71e-b8c593c5b035,182,SCANNED_THIS_SITTING,"Warborn/frame/Silversheen sweep run, no production counts"
Canon Change Log,83d9b4a3-9489-46e0-b7d5-d17ba224ef68,789,CENSUSED,ALL 789 ROWS READ. canon_rulings.csv + corrections.csv + unbooked_items.csv + accounts.csv + actors.csv. Entries 9/10 are the empire's financial anchor pages; 608-613/664/710 are the Hell Treasury; 119/120 close two capital page-holes. Majority of rows are NPC/artifact/mechanics construction; economic rows cluster in the 1-150 and 600-680 bands.
GM Consequence Ledger,96a99cba-2be9-4d8b-a032-b9c3cfc9fbce,272,CENSUSED,"Enumerated by Status/Severity/Timeline; all Active Crisis and Arc-Level rows read, plus every Commercial-type Active and Queued row. Overwhelmingly a narrative pressure register, not a money table - the economically loaded slice is thin and Shi'van-heavy. Harvested rows in unbooked_items.csv and exposures.csv."
Deferred Dice,da0db9c0-9fb7-4ddf-aff5-f1ac55979873,282,CENSUSED,"282 rows enumerated by Status: 118 Resolved, 112 Waiting, 41 Rolled, 11 with no Status. All 41 Rolled and all 11 status-less rows read in full, plus every row matching an economic keyword sweep. Overwhelmingly a narrative trigger register - only 9 rows carry money. Harvested into unbooked_items.csv and corrections.csv."
Faction Beliefs,ecda3444-2cc0-4922-8c68-ce2eef22054c,57,SCHEMA_READ,"Schema and one row read. Columns are Faction / What They Believe / What They Are Doing / Intensity / Next Action / Disrupted By / Key NPCs / Shivan Contact Points. No money fields. Operational commitments appear in prose only (e.g. three textile workers into the Institut intake track), so it can seed employment but carries no figures."
Creation Registry,23327d85-0663-47e8-8032-f436b31a28d8,41,CENSUSED,"ALL 41 ROWS READ -> products.csv (new). 1,044,400 gp market value and 537,825 gp material cost booked. 8 market-value page holes. Two rows state a day-number and a Harptos date together: Seren's Collar confirms the Day 904 epoch exactly, Eye of Verdandi contradicts itself by 5 days."
Shadow Events,af630205-84eb-44a4-afdb-9819dadbb54a,35,SCHEMA_READ,"Schema and one row read. Columns are Event / True Status / Known By / Believed By / Resolution Trigger / Campaign Intersection / GM Notes - an intelligence-state register with no money fields. Structurally it is the same shape as exposures.csv (detection, trigger, counterparty) and is the right upstream source if exposure modelling is ever extended. Not an economic table."
Kingdoms & Factions,26dbb39a-3cb0-4a0e-91de-68fb2e28114a,12,UNCENSUSED,12 rows. Still unread - the only database on the original list not opened this sitting.
Character Sheets,4f36bdba-b267-4cf0-a931-80e32ecb7ccb,10,SCHEMA_READ,Schema and one row read. Columns are Character / Campaign Day / Version / GURPS CP Total / D&D Level / Status. No money fields. Note the Campaign Day column is another day-number surface (sample row stamped Day 510) and belongs to the SHIVAN lane.
World-Move Register,f10ce74a-dcdd-4c4d-9034-5a7a3cd9b52b,1,CENSUSED,"DISCOVERED 2026-09-20 - was not on any prior list. Holds ONE row (S074, Arik, ~Day 5 Hammer 1495, 4 moves). Columns Global Seq / Arc / In-Game Date / Moves Count / NPCs Linked / Session. A stub: the structure exists, the practice did not continue past one session."
Development Ledger - Children of the Line,92968155-bc5e-49ec-a590-20d60e1973b9,,UNCENSUSED,"DISCOVERED 2026-09-20 - was not on any prior list. Dynastic, unlikely to be economic, unread."
NPC Personality Axis State - Arik Arc,d4395118-af1b-4fc7-89bd-006864ed4ebf,,UNCENSUSED,"DISCOVERED 2026-09-20 - was not on any prior list. Behavioural state, unlikely to be economic, unread."
Sourcebook Index,6ca1c6f9-0f29-4b5d-95fe-e497bcb509b9,,UNCENSUSED,"DISCOVERED 2026-09-20. Reference material, not campaign state."
System References,1ff8b307-bd2f-4515-b798-9689e7e6243d,,UNCENSUSED,DISCOVERED 2026-09-20. A second DEPRECATED System References database is recorded at 9ef4e3e1-346b-48ad-948a-71cc03903d10 - do not read that one as authority.
