facility_id,display_name,source_url,status,sector,city,employees,monthly_revenue,monthly_cost,capital_invested,neglect_status,revenue_state,notes,slice
fac:ncf-parent,Northern Crown Financial,https://app.notion.com/2fbe821484b0816ab0b8e7e7ed41fe29,Operational,Banking,Multi-Region,85,22000,, ,Current,SOURCE,parent card; do not add branch revenues to this 22000,NCF
fac:ncf-nw,Northern Crown Financial - Neverwinter,https://app.notion.com/321e821484b08175997cc81e61c35015,Operational,Banking,Neverwinter,35,10000,5200,25000,Delegated,HISTORICAL_ONLY,Eleint branch row; parent 22000 already proves rollup stale,NCF
fac:ncf-luskan,Northern Crown Financial - Luskan,https://app.notion.com/321e821484b0812d82f9cc0add910698,Operational,Banking,Luskan,30,9583,4990,18000,Delegated,HISTORICAL_ONLY,Eleint branch row,NCF
fac:ncf-wd,Northern Crown Financial - Waterdeep,https://app.notion.com/321e821484b08169bde3cc7112ca328d,Operational,Banking,Waterdeep,12,2750,1430,15000,,HISTORICAL_ONLY,Eleint branch row,NCF
fac:ncf-suzail,Northern Crown Financial - Suzail,https://app.notion.com/321e821484b08109a55af30bd40fa6cb,Operational,Banking,Suzail,8,917,550,10000,Delegated,HISTORICAL_ONLY,Eleint branch row; Dagny Ironfold,NCF
fac:gold-lending,Gold Lending House,https://app.notion.com/321e821484b081e7a5ecfd25ff8299dc,Unconfirmed,Banking,Luskan,12,0,0,0,,UNCONFIRMED,do not book zeros as current,NCF
fac:silversheen,Silversheen Trading (Aluminum),https://app.notion.com/p/34ce821484b0812eb41ef8f7c55f9761,Scaling,Manufacturing,,45,48400,29040,,Current,SOURCE,NCF 60 / Gauntlgrym 40; 30t vs 20pct ruling still open,NCF
fac:tissage,Institut de Tissage Arcanique,https://app.notion.com/372e821484b081d98c19e650c16b687f,Operational,Manufacturing,Waterdeep,81,28000,17500,132000,Delegated,SOURCE,registry card name; floor 67 remains Tissage operating unit not folded as Institut research,INSTITUT
fac:burning-gate,Project Burning Gate,https://app.notion.com/34ce821484b08125b0ccfa8966ff42f0,R&D Phase,R&D,Forgedeep,30,0,0,, ,SOURCE,800000 external cash is outflow not revenue,INSTITUT
fac:warborn-nw,Warborn Production - Neverwinter,https://app.notion.com/321e821484b081b38d51dcbc19edd667,Scaling,Manufacturing,Neverwinter,77,360000,20000,,Current,SOURCE,property Monthly Revenue now 360000 invoice; cost box 20000 not 12x6000,HOUSEHOLD
fac:warborn-wd,Warborn Production - Waterdeep,https://app.notion.com/321e821484b0816a8684d3df85527df8,Operational,Manufacturing,Waterdeep,200,0,22900,, ,CONFLICT,registry Monthly Revenue property still 0; location card capacity 100-150 x 30000 is not written into this property,HOUSEHOLD
fac:zariel-contract,Zariel Warborn Contract,https://app.notion.com/34ce821484b081febf14f062ef3cb91b,Operational,, ,0,360000,22900,,Current,CONFLICT,property Monthly Revenue set 2026-09-19 to Neverwinter invoices only; Waterdeep band not in this field,HOUSEHOLD
