transaction_id,day,clock,session,display_name,txn_type,amount_gp,recurring,fund,source_dest,confidence,notes,source_url,state_origin,slice
txn:d234:duchess-commission-received,234,SHIVAN_DAY_234,7,Duchess Commission (Received),Commission Income,10000,NO,Operating,Duchess Stelmane -> B&D,EXACT,First major B&D payment. Deposited into ESAMT.,https://app.notion.com/341e821484b081468b39f084d53a1b46,SOURCE,INSTITUT
txn:d234:torrino-instruction-annual,234,SHIVAN_DAY_234,7,Torrino Instruction (Annual),Recurring Cost,-2000,YES,ESAMT,ESAMT -> Archmage Torrino,EXACT,2000gp/year; ~167gp/month.,https://app.notion.com/341e821484b0814ea006f00ef5d7c550,SOURCE,NCF
txn:d234:evening-s-edge-development,234,SHIVAN_DAY_234,7,Evening's Edge Development,ESAMT Draw,-3000,NO,ESAMT,ESAMT -> R&D,EXACT,First authorized ESAMT investment.,https://app.notion.com/341e821484b081dbb7f2d9f9d43a7add,SOURCE,NCF
txn:d234:esamt-establishment-ruby-trust,234,SHIVAN_DAY_234,7,ESAMT Establishment — Ruby Trust,Other Income,1010000,NO,ESAMT,Million-gold ruby -> NCF trust,EXACT,Foundation asset. Flawless extraordinary grade. Certified by Master Goldweaver. This is the ESAMT corpus origin — ESAMT is NOT SSAMT.,https://app.notion.com/341e821484b081e29ef8ca7e7a8b84d8,SOURCE,NCF
txn:d234:seamstress-expansion-reserve,234,SHIVAN_DAY_234,7,Seamstress Expansion Reserve,ESAMT Draw,-5000,NO,ESAMT,ESAMT -> Operating reserve,EXACT,Available on demand.,https://app.notion.com/341e821484b081f38d63f2cac3d01077,SOURCE,NCF
txn:d310:estate-operating-costs-monthly,310,SHIVAN_DAY_310,9,Estate Operating Costs (Monthly),Recurring Cost,-355,YES,Operating,Operating -> Estate,EXACT,Tax 50; staff 74.8; utilities 15; maintenance 25; insurance 20; greenhouse 54.8; provisions 30; entertainment 50; supplies 15; repairs 20.,https://app.notion.com/341e821484b0811487a8ead4586c905e,SOURCE,INSTITUT
txn:d310:celestial-compass-estate-purchase,310,SHIVAN_DAY_310,9,Celestial Compass Estate Purchase,Asset Acquisition,-127000,NO,ESAMT,ESAMT loan -> 47-53 Sapphire St,EXACT,4 townhouses unified. 45K purchase + 35K renovation + 20K vault + 15K finishing + 8K furniture + 3K greenhouse + 1K security. 4 percent interest = 5080/yr.,https://app.notion.com/341e821484b08163aa83e7b45725858b,SOURCE,NCF
txn:d310:estate-loan-interest-monthly,310,SHIVAN_DAY_310,9,Estate Loan Interest (Monthly),Recurring Cost,-423,YES,Operating,Operating -> NCF,EXACT,127K at 4 percent = 5080/yr = ~423/mo. Interest-only initially.,https://app.notion.com/341e821484b081fb84a3c8f8407fa77d,SOURCE,INSTITUT
txn:d393:institut-patent-filing,393,SHIVAN_DAY_393,12,Institut Patent Filing,Operating Expense,-2000,NO,Unknown,Operating -> Registry,EXACT,Patent registration.,https://app.notion.com/341e821484b0810da771ce51586b3d81,SOURCE,INSTITUT
txn:d393:institut-safety-equipment,393,SHIVAN_DAY_393,12,Institut Safety Equipment,Operating Expense,-2000,NO,Unknown,Operating -> Institut,EXACT,Mithril-lined safety gloves etc.,https://app.notion.com/341e821484b08115ba7bdfba5562dce4,SOURCE,INSTITUT
txn:d393:institut-cathedral-workshop-build-out,393,SHIVAN_DAY_393,12,Institut Cathedral Workshop Build-Out,Capital Investment,-48000,NO,Unknown,ESAMT/NCF -> Cathedral Workshop,EXACT,Former sailcloth factory. Ledger flags SOURCE UNCERTAIN (ESAMT draw or separate NCF loan) — superseded by the Session 31 GM ruling booked at Day 393 Session 31.,https://app.notion.com/341e821484b0816f960fe372b8fd447d,SOURCE,INSTITUT
