employment_id,facility_id,pool_name,headcount,headcount_state,wage_rate,wage_state,source_url,consolidation,notes
emp:ag-shelter,fac:ag-shelter,Agricultural Shelter Zones (registry card headcount),8,SOURCE,,,https://app.notion.com/321e821484b081e09660eacd14973b2f,STANDALONE,
emp:arterial-crystal,fac:arterial-crystal,Arterial Road Crystal Network (registry card headcount),,UNKNOWN,,,https://app.notion.com/34ce821484b081efb974fa3f64c20be8,STANDALONE,Registry card carries no Employees value. Empty stays empty; unknown is not zero.
emp:arterial-road,fac:arterial-road,Arterial Road Network,150,SOURCE,15200,SOURCE,https://app.notion.com/321e821484b081ceb8cefafb60bf5d8c,STANDALONE,"15,200/mo = Road Warden 7,200 + maintenance crews 5,000 + construction crews 3,000. Remainder of the 19,360 cost is materials 2,660 + admin 1,500. 150 heads: 60 Road Wardens (who double as Veil collectors), 50 maintenance, 25 construction, 10 waystation, 5 admin."
emp:arterial-township,fac:arterial-township,Arterial Township Development (registry card headcount),12,SOURCE,,,https://app.notion.com/321e821484b0810187d5cfa2a74f31f0,STANDALONE,
emp:athenaeum,fac:athenaeum,Neverwinter Athenaeum (registry card headcount),0,SOURCE,,,https://app.notion.com/324e821484b0813fb1c6ecc41384257b,STANDALONE,
emp:azurite,fac:azurite,Azurite Decorative Quarries (registry card headcount),20,SOURCE,,,https://app.notion.com/321e821484b081b28e6dc97122a34793,STANDALONE,
emp:bg-aqua,fac:bg-aqua,BG Aquaculture Pools (3 sites) (registry card headcount),12,SOURCE,,,https://app.notion.com/321e821484b08116a104c6217060c1c5,STANDALONE,
emp:blacklake,fac:blacklake,Blacklake Aquaculture (7 pools) (registry card headcount),15,SOURCE,,,https://app.notion.com/321e821484b08112ab9ecd6f5eba18e8,STANDALONE,
emp:bloodaxe,fac:bloodaxe,Bloodaxe Legion roster,10000,SOURCE,75000,SOURCE,https://app.notion.com/321e821484b0812dbba0e10b75086a02,STANDALONE,"10,000 professional soldiers, 20 cohorts. 19 cohorts at 480 plus 1st Cohort double-strength at 800. USER RULING 2026-09-19: 10,000 stands. The 5,000 figure in Canon Change Log 709 is the FORGEDEEP GARRISON line from the page's own location table (Skyreach 1,000 / Forgedeep 5,000 incl. 4 training cohorts / Neverwinter 1,000 / Gauntlgrym Road 1,000 / external contracts 2,000), not a total-strength restatement. No conflict exists. Legion-level assets sit outside the cohorts: Mage Cadre 14, Military Intelligence 250, Marine Corps 200, Executive Security 100, Devil Liaison 50, Moranth Corps 20+100. Sappers ~1,250. Magically talented ~1,500 (15%). Inevitable City forces run SEPARATE cohort numbering per Chad ruling Hammer 1495. Page body budget: personnel 75,000/month of a 150,000 actual monthly spend (equipment 25,000, ops/training 20,000, facilities 15,000, reserves/benefits 15,000). Official cover budget is 15,000/month as a security company; the difference is laundered through construction contracts."
emp:brickworks,fac:brickworks,Brickworks,30,SOURCE,1750,SOURCE,https://app.notion.com/321e821484b0816c87fbf0fee22835ad,STANDALONE,"Annual wages 21,000 gp = 1,750/mo across 30 (1 foreman, 6 kiln operators, 10 molders, 5 clay processors, 5 transport, 3 admin)."
emp:burning-gate,fac:burning-gate,Burning Gate staff,30,SOURCE,,,https://app.notion.com/34ce821484b08125b0ccfa8966ff42f0,STANDALONE,
emp:canal-housing,fac:canal-housing,Canal Housing Redevelopment (registry card headcount),8,SOURCE,,,https://app.notion.com/321e821484b0814c9919d340642e3319,STANDALONE,
