id,type,label,in_world_date,clock,status,scope,rule,notes
stamp:departure-shelf,SHELF,Departure Shelf (registry snapshot),Hammer 1495 DR,ARIK_SURFACE,CLOSED_TO_ARIK / OPEN_TO_STAFF,"Business Registry snapshot, employment, loans, accounts, competitor clocks, entity state","Every money row in these tables is stamped here unless it says otherwise. Arik cannot act at this stamp - he is committed to the crossing. Vara, Lirien, Korgan and Kalnar can, under the Command-Session Protocol (non-Arik POV, world-returns-first).","REVISED 2026-09-20. The 'Day 7' originally written here is a HELL-DAY COUNT on the ARIK_HELL lane, not a day of Hammer — user-confirmed. Two things were sharing one row: the surface registry snapshot the money tables answer to (this, Hammer 1495, month-level), and the live play position (ARIK_HELL:T+7, Skyreach over Avernus). Now split. See lane_epochs.csv."
stamp:crossing,CROSSING,The Black Sluice Crossing (Hells -> Material),Ches 1496 DR,ARIK_SURFACE,LIVE,"Arik's person, position, kit, XP, the Hell operation and everything downstream of it",A date chosen deliberately as a clean jump-off so the Hell operation would not collide with the 1495 material. It is NOT a dilation reading and NOT a rival anchor. Live play sits at or after this stamp.,"CORRECTED 2026-09-20. OUTBOUND, not inbound. Pinned Ches 1496 DR. It is the far end of the Reserved Interval and the gate the Blue Hour at Tethford plays behind. It is NOT T+0 on ARIK_HELL; that boundary is earlier and remains unpinned."
interval:shelf-to-crossing,INTERVAL,The Reserved Interval,Hammer 1495 DR -> Ches 1496 DR,ARIK_SURFACE,SUSPENDED,426 surface days of deliberately unwritten ground,"USER RULED 2026-09-19: SUSPENDED. Nothing inside the interval advances until it is played. No clock ticks, no profit accrues, no scheduled event fires by the passage of time alone. Play in the interval moves state; the calendar does not.",Carved out on purpose to leave playable ground between the empire material and the Hell operation. Suspension is what keeps it worth playing - see rule:no-auto-accrual.
rule:no-auto-accrual,CARRY_RULE,Unplayed time accrues nothing,,,BINDING,"Money, clocks, construction, neglect","While SUSPENDED, elapsed calendar time produces no operating profit, no clock advance, no construction progress and no neglect degradation. Only played sessions move state.","The ruling that matters most financially. At the shelf the empire runs a ~400,000 gp liquidity gap against a protected 450,000 target. Twelve months at 75-90K/mo profit would close it unattended. Suspension keeps the crisis live and makes it worth playing."
rule:non-binding-forward,CARRY_RULE,The interval may not invalidate the Crossing,,,BINDING,Everything played inside the interval,"Sessions played in the interval may add texture, consequence, relationships and money. They may NOT invalidate any state already true at the Crossing or downstream of it.",This is the rule the gap was carved out to protect. Without it the prequel can break the operation it was made for.
rule:carries-forward,CARRY_RULE,What the interval hands to the Crossing,,,BINDING,Money and entity state,"Money, entity state, headcount, ownership, loans, reputations and NPC dispositions carry forward. The Crossing inherits whatever the interval leaves.",
rule:frozen,CARRY_RULE,What the interval may not touch,,,BINDING,"Arik's position, kit at crossing, Hell-op preconditions","Arik's location, his equipment at the moment of crossing, and the operation's stated preconditions are frozen. The interval steers toward them, never away.",
rule:lane-separation,CARRY_RULE,Other lanes are not this interval,,,BINDING,"Shi'van, Jörmun, Menzoberranzan","Shi'van runs Day 911 / 6 Mirtul 1494. Jörmun runs ~Uktar 1498. Menzoberranzan is 1501/1570, ruled far-future and not a current lane. None of these are inside the Reserved Interval and none are governed by its suspension.","A 1498 stamp on an entity is the Jörmun lane, not boundary leakage from this one."
sched:cage,SCHEDULED_IN_INTERVAL,THE CAGE completes,~Day 35 Hammer 1495 DR,ARIK_SURFACE,HELD,Dragon-capture rig,,"30-day build, footing rolled excellent. Vidnir forges the iron, Arik seats the true-name binding in the Avernus Ruby."
sched:snowfall-formation,SCHEDULED_IN_INTERVAL,Snowfall Hearthworks formation,1 Alturiak 1495 DR,ARIK_SURFACE,HELD,Snowfall Hearthworks,,"Locked forward outcome. The 30,000 gp NCF facility at 8% cannot draw before this."
sched:snowfall-opening,SCHEDULED_IN_INTERVAL,Snowfall Hearthworks opening,1 Eleint 1495 DR,ARIK_SURFACE,HELD,Snowfall Hearthworks,,Locked forward outcome.
sched:green-vein,SCHEDULED_IN_INTERVAL,Green Vein Corridor completes,Marpenoth 1495 DR,ARIK_SURFACE,HELD,Green Vein Corridor,,"Rolled a construction windfall. Operational one season, ~1,500 gp/mo net tolls by Hammer 1496."
sched:wyrmhelm-hatchings,SCHEDULED_IN_INTERVAL,Wyrmhelm first hatchings,Nightal 1495 DR,ARIK_SURFACE,HELD,Wyrmhelm Forgedeep,,Vara's Charger and Lirien's Courser both hatch and complete Nafnfestr at the turn of the year.
sched:bonding-window,SCHEDULED_IN_INTERVAL,Inner Circle dragon bonding window,Nightal 1495 - Hammer 1496 DR,ARIK_SURFACE,HELD,Wyrmhelm Forgedeep,,"Spans the interval and closes at or just after the Crossing. Arik (Warmother Ambrosianeth), Korgan, Vara, Shi'van, Lirien, Seliara."
sched:crystal-audit,SCHEDULED_IN_INTERVAL,Arterial crystal network audit,OVERDUE since Kythorn 1494,ARIK_SURFACE,HELD,Arterial Road Crystal Network,,"Eight unrolled network months, standing -2, fractal drift unaddressed. Seliara Frostwind absent since Ches 1494 and named a single point of failure for the Sea Gate build as well."
