rate_id,programme_id,line,tier,condition,rate,unit,state,basis,source_url
rc:carat:appr-counter,prog:carat-house,APPRAISAL,Counter look,"verbal, one piece, while you wait",2,gp per piece,RULED,Waived if a pawn loan or purchase follows.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:appr-letter-small,prog:carat-house,APPRAISAL,Chettiar Letter,piece valued under 500 gp,10,gp flat,RULED,"Three-light grading, inclusion map, as-is and if-recut values. 1-3 days. Printed: 'a valuation, not a certification'.",https://app.notion.com/p/348e821484b0811f8e80cbd2eaf87662
rc:carat:appr-letter-major,prog:carat-house,APPRAISAL,Chettiar Letter,piece valued 500 gp and up,0.5,"% of value, min 10 gp",RULED,"Half the House of Gems major-stone certification (1%, 2-4 tendays) and ten times faster, because it is a market valuation and not legally dispositive.",https://app.notion.com/p/348e821484b0811f8e80cbd2eaf87662
rc:carat:appr-rush,prog:carat-house,APPRAISAL,Rush letter,same day,50,% surcharge,RULED,Guild rush is +100%.,https://app.notion.com/p/348e821484b0811f8e80cbd2eaf87662
rc:carat:survey-visit,prog:carat-house,APPRAISAL,Estate / collection survey,on-site visit,25,gp per visit,RULED,"Probate, insurance, division of estates. No guild equivalent.",https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:survey-small,prog:carat-house,APPRAISAL,Estate / collection survey,each item under 500 gp,1,gp per item,RULED,,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:survey-major,prog:carat-house,APPRAISAL,Estate / collection survey,each item 500 gp and up,0.25,% of value,RULED,,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:identity-map,prog:carat-house,APPRAISAL,Identity map filing,per stone,5,gp per stone,RULED,Inclusion-map fingerprint kept on file with an owner copy. Survives recutting and resetting. Proves ownership of recovered stones; evidentiary weight in Commerce Court untested.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:referral,prog:carat-house,APPRAISAL,Referral for legal certification,anything that must stand as collateral or in court,0,no cut - client pays the House of Gems,RULED,The goodwill channel into Goldweaver's chamber.,https://app.notion.com/p/348e821484b0811f8e80cbd2eaf87662
rc:carat:tsa-intake,prog:carat-house,APPRAISAL,TSA subcontract - intake,stone component of a Guardian Pledge,0.5,"% of stone value, min 15 gp",RULED,Identical to the public rate on purpose: arm's-length pricing is the defence against a self-dealing challenge. Inter-company.,https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:tsa-inspection,prog:carat-house,APPRAISAL,TSA subcontract - inspection,"per visit; semi-annual under 10,000 gp, quarterly at 10,000+",10,gp per visit,RULED,Inter-company.,https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:ltv-a,prog:carat-house,PAWN,Advance Tier A,"Nandini-graded loose stones, guild-registered pieces, known makers (B&D, Silverhair)",70,% of Carat House valuation,RULED,"Matches Guardian Pledge's top tier; physical custody justifies matching it, not exceeding it. Nandini's own voice: seven thousand against a ten.",https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:ltv-b,prog:carat-house,PAWN,Advance Tier B,"other Waterdhavian makers, precious-metal work, ungraded quality stones",55,% of Carat House valuation,RULED,,https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:ltv-c,prog:carat-house,PAWN,Advance Tier C,unknown maker or thin provenance; material value only,40,% of Carat House valuation,RULED,Enchantment counts as zero at every tier unless an Institut assessment is attached at the client's cost.,https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:int-1,prog:carat-house,PAWN,Interest,loans 10-99 gp,3,% per month or part month,RULED,36%/yr. Small tickets cost as much to handle as large ones.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:int-2,prog:carat-house,PAWN,Interest,loans 100-999 gp,2,% per month or part month,RULED,24%/yr.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:int-3,prog:carat-house,PAWN,Interest,"loans 1,000-4,999 gp",1.5,% per month or part month,RULED,18%/yr.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:int-4,prog:carat-house,PAWN,Interest,"loans 5,000 gp and up",1,% per month or part month,RULED,"12%/yr - deliberately above Guardian Pledge's 6-8%/yr. The premium buys discretion: no inspector in the house, no lien, same-day cash.",https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:term,prog:carat-house,PAWN,Term,every ticket,3,"months, one 3-month renewal on accrued interest (6 max)",RULED,"Simple interest, one month minimum. Tickets non-transferable.",https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:grace,prog:carat-house,PAWN,Grace,after term,30,days,RULED,Matches TSA; doubles as the Watch stolen-goods window.,https://app.notion.com/p/338e821484b0810bad2ec1b75be07cfb
rc:carat:min-max,prog:carat-house,PAWN,Limits,per ticket,10-25000,"gp; above 25,000 needs Helena's co-sign",RULED,,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:forfeit-small,prog:carat-house,PAWN,Forfeiture,loans under 500 gp,0,surplus returned,RULED,Item becomes house stock.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:forfeit-surplus,prog:carat-house,PAWN,Forfeiture,loans 500 gp and up,5,% sale cost; all surplus above principal + interest + 5% returned within 30 days,RULED,"THE BRAND RULE. The house cannot profit from lowballing - the only credible proof of 'won't undervalue', and the answer to any drow-pawnbroker attack.",https://app.notion.com/p/348e821484b081148891c591b8bac2a1
rc:carat:whsl-house,prog:carat-house,WHOLESALE,House,"Institut, B&D, Silverhair work",10,% over landed BG cost,RULED,Inter-company; nets out at ESAMT level. The house already buys BG-direct through Omara's standing order.,https://app.notion.com/p/33be821484b08185b8dfcb2fdd2d450e
rc:carat:whsl-trade,prog:carat-house,WHOLESALE,Trade,guild-registered Waterdeep jewellers only,30,% over landed BG cost,RULED,A 9 gp BG fire opal lands ~12 gp against 15-20 Waterdeep retail. Guild jewellers become customers rather than competitors.,https://app.notion.com/p/33be821484b08185b8dfcb2fdd2d450e
rc:carat:retail,prog:carat-house,RETAIL,Curated case,15-20 exceptional stones,30-40,"% over landed cost, priced at Waterdeep retail",RULED,Every sale ships with a free Chettiar Letter; stones 500 gp+ get a guild-certification referral.,https://app.notion.com/p/348e821484b081148891c591b8bac2a1
